epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.357,1.12926,2.68608,1.69386,0.00333,1,0.74266,0.4956,0.34459,2.89635,1.25225,0.0002,0.0002,0.0002
2,254.844,0.57335,2.3078,1.19955,0.00333,1,0.92662,0.78945,0.29793,2.86288,0.99352,0.000414803,0.000414803,0.000414803
3,360.631,0.4583,1.97758,1.09692,0.00333,1,0.995,0.84164,0.36384,2.84225,1.06151,0.00062416,0.00062416,0.00062416
4,467.236,0.45129,1.69046,1.03745,0.00333,1,0.77087,0.46262,0.92048,3.09614,1.52288,0.000828073,0.000828073,0.000828073
5,516.139,0.51932,1.50464,1.05649,0.00333,1,0.98,0.84242,0.56349,2.77099,1.3124,0.00102654,0.00102654,0.00102654
6,553.717,0.59539,1.40005,1.17242,0.816,0.90909,0.91571,0.7194,0.81179,2.62287,2.00838,0.00121956,0.00121956,0.00121956
7,592.403,0.61696,1.27433,1.11826,0.40245,1,0.46402,0.14758,2.58343,3.28359,4.45065,0.00140714,0.00140714,0.00140714
8,628.576,0.66975,1.33574,1.19531,0.94952,1,0.995,0.82159,0.70557,2.04857,1.82812,0.00158927,0.00158927,0.00158927
9,667.164,0.58683,1.14679,1.10566,0.94952,1,0.995,0.82159,0.70557,2.04857,1.82812,0.00176596,0.00176596,0.00176596
10,710.236,0.57397,1.11979,1.10857,0.98613,1,0.995,0.77892,0.46084,6.32959,1.22514,0.00177725,0.00177725,0.00177725
11,752.342,0.56122,1.18717,1.1259,0.70446,1,0.995,0.8703,0.40503,4.29433,1.07277,0.0017525,0.0017525,0.0017525
12,788.06,0.48178,1.0821,1.09906,0.70446,1,0.995,0.8703,0.40503,4.29433,1.07277,0.00172775,0.00172775,0.00172775
13,823.945,0.55837,0.98049,1.0883,0.91012,1,0.9875,0.86604,0.4043,2.97884,1.02822,0.001703,0.001703,0.001703
14,860.999,0.55666,0.96217,1.1393,0.54146,1,0.81841,0.71253,0.44335,2.29623,1.10374,0.00167825,0.00167825,0.00167825
15,894.716,0.5574,0.91829,1.09505,0.54146,1,0.81841,0.71253,0.44335,2.29623,1.10374,0.0016535,0.0016535,0.0016535
16,929.482,0.48631,0.89281,1.03559,0.56942,1,0.85286,0.73081,0.43748,2.18317,1.06362,0.00162875,0.00162875,0.00162875
17,964.497,0.46761,0.90207,1.02559,0.62547,0.90909,0.86724,0.68727,0.57464,2.111,1.14842,0.001604,0.001604,0.001604
18,998.372,0.44748,0.80097,1.02526,0.52002,1,0.83156,0.65146,0.46907,2.31428,1.06608,0.00157925,0.00157925,0.00157925
19,1042.59,0.4375,0.94679,1.04997,0.52002,1,0.83156,0.65146,0.46907,2.31428,1.06608,0.0015545,0.0015545,0.0015545
20,1079.23,0.50232,0.92307,1.05112,0.54626,1,0.9725,0.9215,0.32159,2.6694,0.94913,0.00152975,0.00152975,0.00152975
21,1118.51,0.46062,0.7648,1.0294,0.70461,1,0.97297,0.88239,0.56453,2.50046,1.12886,0.001505,0.001505,0.001505
22,1154.96,0.4274,0.78731,1.01999,0.70461,1,0.97297,0.88239,0.56453,2.50046,1.12886,0.00148025,0.00148025,0.00148025
23,1190.7,0.3846,0.76215,0.99349,0.44242,0.81818,0.46377,0.30693,0.90709,3.26434,1.37993,0.0014555,0.0014555,0.0014555
24,1227.75,0.39714,0.75694,1.02832,0.97722,1,0.995,0.89679,0.47741,1.21323,1.06759,0.00143075,0.00143075,0.00143075
25,1264.27,0.37428,0.69501,0.96453,0.97722,1,0.995,0.89679,0.47741,1.21323,1.06759,0.001406,0.001406,0.001406
26,1300.33,0.36109,0.72738,0.98624,0.99147,1,0.995,0.9282,0.35029,1.02009,0.94068,0.00138125,0.00138125,0.00138125
27,1339.36,0.37754,0.70511,0.96796,0.99305,1,0.995,0.995,0.33929,0.91949,0.93024,0.0013565,0.0013565,0.0013565
28,1378.39,0.36052,0.64051,0.99178,0.99305,1,0.995,0.995,0.33929,0.91949,0.93024,0.00133175,0.00133175,0.00133175
29,1412.86,0.38402,0.70711,0.97975,0.99465,1,0.995,0.96823,0.33524,0.77961,0.92303,0.001307,0.001307,0.001307
30,1453.46,0.35839,0.65367,0.99016,0.99555,1,0.995,0.91618,0.33067,0.84508,0.93396,0.00128225,0.00128225,0.00128225
